"ID","Synset","Gloss"
1,100001740,"(anything having existence (living or nonliving))"
2,100002086,"(any living entity)"
3,100002880,"(living things collectively; ""the oceans are teeming with life"")"
4,100003011,"(a discrete unit of living matter)"
5,100003095,"(the basic structural and functional unit of all organisms; cells may exist as independent units of life (as in monads) or may form colonies or tissues as in higher plants and animals)"
6,100003731,"(any entity that causes events to happen)"
7,100004123,"(a human being; ""there was too much for one person to do"")"
8,100008019,"(a living organism characterized by voluntary movement)"
9,100008864,"(a living organism lacking the power of locomotion)"
10,100009457,"(a physical (tangible and visible) entity; ""it was full of rackets, balls and other objects"")"
11,100010123,"(an object occurring naturally; not made by man)"
12,100010572,"(that which has mass and occupies space; ""an atom is the smallest indivisible unit of matter"")"
13,100011575,"(any substance that can be metabolized by an organism to give energy and build tissue)"
14,100011937,"(a man-made object)"
15,100012704,"(one of a class of artifacts; ""an article of clothing"")"
16,100012865,"(a feature of the mental life of a living organism)"
17,100013018,"(a general concept formed by extracting common features from specific examples)"
18,100013243,"(the psychological result of perception and learning and reasoning)"
19,100013700,"(the psychological feature that arouses an organism to action; the reason for the action; ""we did not understand his motivation""; ""he acted with the best of motives"")"
20,100014045,"(the psychological feature of experiencing affective and emotional states; ""he had a feeling of euphoria"")"
21,100014887,"(a point or extent in space)"
22,100015185,"(the spatial arrangement of something as distinct from its substance; ""geometry is the mathematical science of shape"")"
23,100015594,"(the continuum of experience in which events pass from the future through the present to the past)"
24,100015975,"(the unlimited 3-dimensional expanse in which everything is located; ""they tested his ability to locate objects in space"")"
25,100016185,"(the way something is with respect to its main attributes; ""the current state of knowledge""; ""his state of health""; ""in a weak financial state"")"
26,100017297,"(something that happens at a given place and time)"
27,100017487,"(something that people do or cause to happen)"
28,100017954,"(any number of entities (members) considered as a unit)"
29,100018376,"(anything owned or possessed)"
30,100018604,"(an abstraction belonging to or characteristic of an entity)"
31,100018916,"(an abstraction belonging to or characteristic of two entities or parts together)"
32,100019464,"(a relation between living organisms; esp between people)"
33,100019671,"(something that is communicated between people or groups)"
34,100020056,"(how much there is of something that you can measure)"
35,100020461,"(any state or process known through the senses rather than by intuition or reasoning)"
36,100020709,"(an action; ""how could you do such a thing?"")"
37,100020804,"(a kind act)"
38,100020977,"(the act of accomplishing something)"
39,100021392,"(a notable achievement: ""the book was her finest effort"")"
40,100021866,"(an outstanding achievement)"
41,100021950,"(an achievement demonstrating great skill or mastery)"
42,100022060,"(used in the phrase ""to your credit"" to indicate an achievement deserving praise; ""she already had several performances to her credit"")"
43,100022246,"(something done (usually as opposed to something said); ""there were stories of murders and other unnatural actions"")"
44,100022737,"(a mode of action; ""if you persist in that course you will surely fail"")"
45,100022878,"(a mutual or reciprocal action; interacting)"
46,100023032,"(reciprocal action and reaction)"
47,100023118,"(close interaction: ""they kept in daily contact""; ""they claimed that they had been in contact with extraterrestrial beings"")"
48,100023330,"(contact that occurs when two people look directly at each other; ""a teacher should make eye contact with the students"")"
49,100023506,"(contact established between applicants and prospective employees; ""the agency provided placement services"")"
